Designator,Footprint,Quantity,Value,LCSC Part #
"DIODE<_17, DIODE<_16, DIODE<_15, DIODE<_14, DIODE<_13, DIODE<_12, DIODE<_11, DIODE<_10, DIODE<_9, DIODE<_8, DIODE<_7, DIODE<_6, DIODE<_5, DIODE<_4, DIODE<_3, DIODE<_2, DIODE<",D_SOD-123F,17,D_SOD-123F,C81598
"REFMX_17, REFMX_16",MX_Hotswap_2.25u,2,MX_2.25u_PG151101S11,C49352235
"REFMX_15, REFMX_14, REFMX_13, REFMX_12, REFMX_10, REFMX_9, REFMX_8, REFMX_5, REFMX_4, REFMX_3, REFMX_2, REFMX",MX_Hotswap_1.00u,12,MX_1.00u_PG151101S11,C49352235
REFMX_11,MX_Hotswap_1.25u,1,MX_1.25u_PG151101S11,C49352235
"REFMX_7, REFMX_6",MX_Hotswap_1.50u,2,MX_1.50u_PG151101S11,C49352235
